Controller/FloorContainer/ProceduralBuilding/Roof|v:46|t:22|c:(-1,0.636,-1)|s:(4.6,1.272,4.6)|p:(0,3,0)
Controller/FloorContainer/ProceduralBuilding/Walls|v:24|t:16|c:(-1,1.5,-1)|s:(4.2,3,4.2)|p:(0,0,0)
Controller/FloorContainer/Rooms/OutsideController_Prefab(Clone)/Floor|v:4|t:2|c:(2.5,0,-1)|s:(3,0,4)|p:(0,0,0)
Controller/FloorContainer/Rooms/RoomController_Prefab(Clone)/Ceiling|v:4|t:2|c:(-1,3,-1)|s:(4,0,4)|p:(0,0,0)
Controller/FloorContainer/Rooms/RoomController_Prefab(Clone)/Floor|v:4|t:2|c:(-1,0,-1)|s:(4,0,4)|p:(0,0,0)
Controller/FloorContainer/Rooms/RoomController_Prefab(Clone)/Walls/Wall0|v:4|t:2|c:(-1,1.5,0.95)|s:(3.9,3,0)|p:(0,0,0)
Controller/FloorContainer/Rooms/RoomController_Prefab(Clone)/Walls/Wall1|v:4|t:2|c:(-2.95,1.5,-1)|s:(0,3,3.9)|p:(0,0,0)
Controller/FloorContainer/Rooms/RoomController_Prefab(Clone)/Walls/Wall2|v:4|t:2|c:(-1,1.5,-2.95)|s:(3.9,3,0)|p:(0,0,0)
Controller/FloorContainer/Rooms/RoomController_Prefab(Clone)/Walls/Wall3|v:4|t:2|c:(0.95,1.5,-1)|s:(0,3,3.9)|p:(0,0,0)
Floor|v:121|t:200|c:(0,0,0)|s:(10,0,10)|p:(0.023,-0.088,0.02)
ProceduralArea/InteriorWalls|v:40|t:24|c:(0,1.5,0)|s:(51,3,51)|p:(0,0,0)
